serie,year,México,USA,Brasil,Chile,Latinoamérica,OCDE
Crecimiento del PIB (% anual),2015,3.29,2.88,-3.55,2.3,0.09,2.42
Crecimiento del PIB (% anual),2016,2.91,1.57,-3.28,1.71,-0.34,1.73
Crecimiento del PIB (% anual),2017,2.12,2.22,1.32,1.19,1.77,2.5
Crecimiento del PIB (% anual),2018,2.14,2.93,1.32,3.95,1.57,2.21
Crecimiento del PIB (% anual),2019,-0.15,2.33,1.14,1.05,0.83,1.66
Crecimiento del PIB (% anual),2020,,,,,,
Crecimiento del PIB per cápita (% anual),2000,3.44,2.98,2.91,4.09,2.29,3.25
Crecimiento del PIB per cápita (% anual),2001,-1.79,0,0.01,2.15,-0.53,0.66
Crecimiento del PIB per cápita (% anual),2002,-1.4,0.8,1.71,2,-1.06,0.79
Crecimiento del PIB per cápita (% anual),2003,0.07,1.98,-0.12,3.01,0.23,1.31
Crecimiento del PIB per cápita (% anual),2004,2.49,2.84,4.5,6.1,4.99,2.47
Crecimiento del PIB per cápita (% anual),2005,0.87,2.56,2.03,4.65,2.96,2.1
Crecimiento del PIB per cápita (% anual),2006,2.98,1.87,2.83,5.2,3.99,2.34
Crecimiento del PIB per cápita (% anual),2007,0.78,0.91,4.97,3.79,4.26,1.96
Crecimiento del PIB per cápita (% anual),2008,-0.36,-1.08,4.05,2.43,2.71,-0.51
Crecimiento del PIB per cápita (% anual),2009,-6.67,-3.39,-1.08,-2.6,-3,-4.12
Crecimiento del PIB per cápita (% anual),2010,3.62,1.72,6.52,4.75,4.68,2.26
Crecimiento del PIB per cápita (% anual),2011,2.23,0.82,3.03,5.06,3.21,1.34
Crecimiento del PIB per cápita (% anual),2012,2.25,1.51,1.01,4.31,1.67,0.66
Crecimiento del PIB per cápita (% anual),2013,0.03,1.15,2.11,3.03,1.69,0.86
Crecimiento del PIB per cápita (% anual),2014,1.5,1.71,-0.35,0.69,-0.06,1.38
Crecimiento del PIB per cápita (% anual),2015,2.01,2.13,-4.35,1.11,-0.92,1.75
Crecimiento del PIB per cápita (% anual),2016,1.68,0.84,-4.07,0.37,-1.32,1.06
Crecimiento del PIB per cápita (% anual),2017,0.94,1.57,0.51,-0.24,0.8,1.88
Crecimiento del PIB per cápita (% anual),2018,0.99,2.39,0.53,2.51,0.63,1.62
Crecimiento del PIB per cápita (% anual),2019,-1.23,1.85,0.38,-0.13,-0.1,1.11
Crecimiento del PIB per cápita (% anual),2020,,,,,,
"Inflación, deflactor del PIB (% anual)",2000,11.15,2.24,5.61,4.27,3.54,3.02
"Inflación, deflactor del PIB (% anual)",2001,6.04,2.19,8.23,3.86,3.9,3.3
"Inflación, deflactor del PIB (% anual)",2002,5.5,1.58,9.8,3.39,3.68,2.86
"Inflación, deflactor del PIB (% anual)",2003,4.04,1.86,14.09,4.58,4.72,2.26
"Inflación, deflactor del PIB (% anual)",2004,7.96,2.69,7.75,7.85,6.45,2.69
"Inflación, deflactor del PIB (% anual)",2005,5.87,3.11,7.43,7.64,5.94,2.54
"Inflación, deflactor del PIB (% anual)",2006,6.39,3.03,6.77,12.16,6.39,2.77
"Inflación, deflactor del PIB (% anual)",2007,5.79,2.69,6.44,5.34,6.37,2.83
"Inflación, deflactor del PIB (% anual)",2008,6.17,1.95,8.78,-0.05,7.6,2.88
"Inflación, deflactor del PIB (% anual)",2009,3.95,0.76,7.31,4.65,3.72,1.68
"Inflación, deflactor del PIB (% anual)",2010,4.55,1.17,8.42,8.96,4.44,1.17
"Inflación, deflactor del PIB (% anual)",2011,5.84,2.09,8.32,3.11,5.8,2.04
"Inflación, deflactor del PIB (% anual)",2012,4.07,1.92,7.94,1.13,3.6,1.86
"Inflación, deflactor del PIB (% anual)",2013,1.53,1.75,7.5,1.98,2.4,1.6
"Inflación, deflactor del PIB (% anual)",2014,4.42,1.89,7.85,5.91,2.63,1.48
"Inflación, deflactor del PIB (% anual)",2015,2.79,1.07,7.57,4.95,2.47,1.14
"Inflación, deflactor del PIB (% anual)",2016,5.38,1.09,8.1,4.47,2.31,1.09
"Inflación, deflactor del PIB (% anual)",2017,6.66,1.9,3.64,4.78,2.63,1.72
"Inflación, deflactor del PIB (% anual)",2018,4.97,2.36,3.29,2.36,2.46,1.89
"Inflación, deflactor del PIB (% anual)",2019,3.33,1.74,4.15,2.67,2.51,2.25
"Inflación, deflactor del PIB (% anual)",2020,,,,,,
Importaciones de bienes y servicios (% del PIB),2000,27.03,14.35,12.45,28.78,19.54,23.99
Importaciones de bienes y servicios (% del PIB),2001,24.5,13.16,14.56,30.74,19.89,23.22
Importaciones de bienes y servicios (% del PIB),2002,24.15,13.02,13.39,30.59,19.51,22.47
Importaciones de bienes y servicios (% del PIB),2003,25.85,13.43,12.96,30.66,20.01,22.48
Importaciones de bienes y servicios (% del PIB),2004,30.01,14.71,13.13,29.93,21.51,23.72
Importaciones de bienes y servicios (% del PIB),2005,31.98,15.54,11.84,31.46,21.86,24.97
Importaciones de bienes y servicios (% del PIB),2006,28.77,16.24,11.67,29.3,21.44,26.39
Importaciones de bienes y servicios (% del PIB),2007,29.27,16.46,11.96,31.34,22.13,26.85
Importaciones de bienes y servicios (% del PIB),2008,30.08,17.4,13.72,39.37,23.63,28.07
Importaciones de bienes y servicios (% del PIB),2009,28.81,13.69,11.25,29.3,20.14,23.86
Importaciones de bienes y servicios (% del PIB),2010,31.06,15.74,11.91,31.32,21.26,26.42
Importaciones de bienes y servicios (% del PIB),2011,32.43,17.26,12.35,34.44,22.56,28.52
Importaciones de bienes y servicios (% del PIB),2012,33.5,17.04,13.24,34.15,22.89,28.57
Importaciones de bienes y servicios (% del PIB),2013,32.46,16.47,14.04,32.77,23.14,28.31
Importaciones de bienes y servicios (% del PIB),2014,33.07,16.43,13.67,32.16,23.03,28.42
Importaciones de bienes y servicios (% del PIB),2015,36.6,15.3,14.05,29.6,22.71,27.83
Importaciones de bienes y servicios (% del PIB),2016,39.04,14.64,12.07,27.54,22.12,27.14
Importaciones de bienes y servicios (% del PIB),2017,39.5,15.05,11.8,27.22,22.16,28.2
Importaciones de bienes y servicios (% del PIB),2018,41.16,15.34,14.51,28.77,24.12,28.93
Importaciones de bienes y servicios (% del PIB),2019,39.11,14.67,14.65,28.56,23.26,30.07
Importaciones de bienes y servicios (% del PIB),2020,,,,,,
Ahorro bruto (% del PIB),2000,21.39,20.84,13.99,21.07,17.87,23.15
Ahorro bruto (% del PIB),2001,20.6,19.69,13.59,21.31,16.97,22.4
Ahorro bruto (% del PIB),2002,19.56,18.41,15.41,21.51,18.37,21.65
Ahorro bruto (% del PIB),2003,19.1,17.5,16.42,20.76,18.72,21.27
Ahorro bruto (% del PIB),2004,22.1,17.82,18.86,22.53,20.31,21.91
Ahorro bruto (% del PIB),2005,21.29,18.28,18.11,23.34,20.36,22.17
Ahorro bruto (% del PIB),2006,23.53,19.33,18.41,25.38,22.09,22.99
Ahorro bruto (% del PIB),2007,23.26,17.63,19.35,25.22,22.28,22.6
Ahorro bruto (% del PIB),2008,23.22,15.36,19.23,22.73,21.9,21.06
Ahorro bruto (% del PIB),2009,22.98,14.02,16.38,22.89,19.23,19.22
Ahorro bruto (% del PIB),2010,23.76,15.55,17.8,24.53,20.6,20.21
Ahorro bruto (% del PIB),2011,23.83,16.57,18.6,23.05,20.9,20.81
Ahorro bruto (% del PIB),2012,23.28,18.88,17.68,22.47,19.79,21.36
Ahorro bruto (% del PIB),2013,20.15,19.31,18.15,20.79,18.62,21.52
Ahorro bruto (% del PIB),2014,21.39,20.46,16.13,21.17,17.38,22.25
Ahorro bruto (% del PIB),2015,21.71,20.32,14.53,21.3,17.24,22.68
Ahorro bruto (% del PIB),2016,22.3,18.79,13.42,20.21,16.98,22.23
Ahorro bruto (% del PIB),2017,23.2,18.74,13.58,18.88,17.07,22.69
Ahorro bruto (% del PIB),2018,23.69,18.58,12.38,18.57,16.78,22.66
Ahorro bruto (% del PIB),2019,22.9,,12.19,18.87,16.36,
Ahorro bruto (% del PIB),2020,,,,,,
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2000,1.86,1.93,,3.21,,4.57
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2001,3.3,2.56,3.69,,,4.24
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2002,3.96,3.33,3.54,,6.27,5.03
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2003,4.6,3.46,4.06,4.48,5.62,5.17
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2004,5.09,3.1,3.62,,4.4,5.43
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2005,4.05,2.71,3.95,,4.84,4.93
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2006,3.97,2.43,3.7,5.82,4.23,4.33
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2007,4.28,2.42,3.83,7.05,4.38,4.03
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2008,3.94,3.01,3.85,,4.08,4.06
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2009,5.09,5.34,3.91,6.51,5.63,6.04
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2010,5.61,5.47,,5.75,,6.23
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2011,5.16,5.14,3.52,5.8,5.32,6.46
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2012,4.98,4.74,1.08,5.42,4.95,6.83
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2013,5.14,4.32,1.38,4.86,3.9,7.11
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2014,5.38,3.69,1.25,5.18,3.94,7.17
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2015,4.95,3.03,5.07,5.08,5.66,6.49
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2016,4.96,2.91,6.33,5.88,6.52,6.33
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2017,4.33,2.69,7.02,7.01,6.65,6
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2018,4.15,2.45,6.86,7.02,6.62,5.81
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2019,4.44,2.38,6.82,6.81,6.7,6.07
Desempleo con educación avanzada (% de la fuerza laboral total con educación avanzada),2020,,,,,,
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2000,82.79,71.89,,67.76,,67.5
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2001,82.29,70.87,73.75,66.92,74.08,67.36
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2002,77.97,69.71,73.93,66.44,73.48,66.42
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2003,77.65,68.9,73.2,66.66,73.43,66.07
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2004,77.46,69.19,74.38,65.96,74.15,65.95
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2005,77.61,69.6,74.2,66.34,74.22,66.31
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2006,78,70.07,74.36,67.53,75.25,66.47
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2007,77.57,69.76,74.23,67.81,74.21,66.84
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2008,76.92,68.5,74.87,67.82,74.93,66.46
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2009,74.77,64.55,74.05,65.39,73.78,64.21
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2010,74.47,63.69,,66.92,,63.92
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2011,74.38,63.87,73.35,68.29,73.61,64.15
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2012,74.92,64.39,70.12,68.02,73.08,64.13
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2013,74.63,64.4,70.12,68.01,73.14,63.95
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2014,74.5,64.88,69.79,67.26,72.7,64.18
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2015,74.67,65.34,68.27,67.35,72.26,64.51
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2016,74.73,65.77,65.77,66.9,71.23,64.87
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2017,75,66.03,64.6,66.74,70.6,65.28
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2018,74.9,66.33,64.67,66.02,70.22,65.61
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2019,74.48,66.58,65.18,65.3,70.17,65.61
"Relación empleo / población, mayores de 15 años, hombres (%) (estimación nacional)",2020,,,,,,
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2000,39.61,57.48,,33.09,,46.26
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2001,39.01,57,46.92,32.37,43.35,46.34
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2002,36.68,56.28,48.28,32.17,43.79,46.1
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2003,37.04,56.13,48.05,33.31,44.23,46.2
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2004,37.83,55.97,49.39,34.26,45.04,46.14
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2005,39.31,56.24,50.02,35.32,45.88,46.61
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2006,40.47,56.62,50.47,36.51,46.81,47.26
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2007,40.74,56.64,50.41,37.65,46.41,47.51
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2008,40.56,56.25,50.81,38.99,47.28,47.67
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2009,40.47,54.42,50.43,38.88,47.16,47.05
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2010,40.31,53.57,,40.97,,46.97
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2011,40.64,53.19,49,43.25,46.65,47.12
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2012,41.7,53.13,47,43.84,46.95,47.28
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2013,41.7,53.16,47.02,44.43,47.08,47.44
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2014,40.95,53.52,47.3,45.08,46.73,47.66
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2015,41.41,53.74,46.73,44.94,46.69,48.06
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2016,41.69,54.08,44.92,44.66,46.23,48.54
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2017,41.4,54.58,45.05,45.04,46.16,49.03
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2018,41.97,54.89,45.44,45.32,46.82,49.52
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2019,43.13,55.36,46.07,45.45,47.22,49.94
"Relación empleo / población, mayores de 15 años, mujeres (%) (estimación nacional)",2020,,,,,,
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2000,60.06,64.4,,50.1,,56.5
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2001,59.39,63.66,59.78,49.31,58,56.48
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2002,56.2,62.73,60.58,48.98,58.02,55.91
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2003,56.26,62.28,60.11,49.68,58.21,55.8
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2004,56.53,62.35,61.36,49.83,59.09,55.7
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2005,57.22,62.69,61.62,50.55,59.45,56.11
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2006,57.99,63.12,61.91,51.75,60.38,56.53
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2007,57.92,62.99,61.84,52.47,59.72,56.84
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2008,57.61,62.18,62.35,53.15,60.51,56.75
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2009,56.68,59.32,61.73,51.89,59.64,55.36
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2010,56.5,58.47,,53.71,,55.18
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2011,56.67,58.37,60.64,55.54,59.6,55.38
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2012,57.46,58.56,58,55.72,59.49,55.44
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2013,57.31,58.58,58,56.02,59.56,55.44
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2014,56.89,59.01,58,55.98,59.13,55.67
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2015,57.22,59.34,56.99,55.96,58.93,56.04
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2016,57.37,59.73,54.87,55.6,58.2,56.46
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2017,57.31,60.11,54.36,55.72,57.83,56.91
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2018,57.6,60.42,54.57,55.51,58,57.33
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2019,58.01,60.78,55.14,55.23,58.18,57.54
"Relación empleo / población, mayores de 15 años (%) (estimación nacional)",2020,,,,,,
