concepto,def
Nivel de reemplazo generacional,"El nivel de reemplazo de la fecundidad es el nivel que se necesita mantener, por un periodo grande de tiempo, para asegurar que la población se reemplace a sí misma. Para alcanzar los niveles de reemplazo de la fecundidad, cada mujer necesita, en promedio, tener una hija sobreviviente. En una población en donde todas las mujeres sobrevivan su etapa reproductiva y en donde la probabilidad de tener una hija en cada embarazo sea del 50 por ciento, el nivel de reemplazo de la Tasa Global de Fecundidad será de 2.0 hijos por mujer. En realidad el nivel de reemplazo es ligeramente más alto porque la probabilidad de sobrevivir desde el nacimiento hasta las etapas reproductivas es menor a cien por ciento y nacen más hombres que mujeres (es decir, la razón por sexo es mayor a 100). Para la mayoría de los países con niveles de mortalidad bajos o moderados y una razón por sexo de 105 hombres por cada cien mujeres, el nivel de reemplazo de la fecundidad es aproximadamente 2.1 hijos por mujer."
Población cerrada,"Es una población que no tiene una corriente inmigratoria o emigratoria, de forma que los cambios en la dimensión de la población ocurren solamente como resultado de los nacimientos y defunciones."
Población de origen mexicano residente en Estados Unidos,"Se divide en tres grupos: a) población nacida en México; b) población de segunda generación es la población nacida en el país vecino, pero de padres mexicanos; y c) población de tercera generación se compone de las personas no nacidas en México y cuyos padres tampoco nacieron en nuestro país, pero se declaran de origen mexicano (México-americanos, chicanos o mexicanos)."
Población económicamente activa (PEA),"En general se considera población económicamente activa al conjunto de personas, de uno u otro sexo, que están dispuestas a aportar su trabajo para la producción de bienes y servicios económicos. Cada país determina la edad de inicio de actividad económica que puede variar en el tiempo y en distintas fuentes (censos y encuestas especializadas); por ejemplo, el Centro Latinoamericano y Caribeño de Demografía (CELADE), para lograr una mejor armonización de las cifras, considera la población económicamente activa como aquella que, según lo establecido por cada país en cada momento o fuente sea considerada PEA y además tenga 15 o más años edad"
Población rural,"En México, el Marco Geoestadístico Nacional del INEGI clasifica como rurales a las localidades de menos de 2 500 habitantes, excepto cuando se trata de cabeceras municipales, en cuyo caso las considera urbanas aunque tengan menos población."
Población urbana,"En términos cuantitativos la población urbana se delimita a partir del número de habitantes de las localidades, la densidad de población y el predominio de ciertos sectores de actividad económica. Así, las áreas urbanas se asocian a una alta densidad poblacional, a la predominancia de actividades de manufactura, servicios y comercio y al predominio de un hábitat artificial. En la década de los años setenta (siglo XX), Luis Unikel realizó un estudio (aplicando distintos criterios) que concluyó con una clasificación que considera como urbanas a las localidades de 15 mil y más habitantes. El corte en los 15 mil habitantes para definir lo urbano ha sido reconocido y aplicado en estudios demográficos y urbanos posteriores y es coincidente con los diagnósticos y la planeación del desarrollo urbano nacional."
Política de población,"Medidas explícitas o implícitas instituidas por un gobierno para influir en el tamaño, crecimiento, distribución o composición de la población."
Proyección de la población,"A grandes rasgos, es el cálculo de los cambios futuros en el número de personas sujeto a ciertas hipótesis acerca de las tendencias futuras en las tasas de la fecundidad, mortalidad y migración. Los demógrafos frecuentemente dan proyecciones bajas, medias y altas de la misma población, basándose en diferentes hipótesis sobre cómo cambiarán estas tasas en el futuro."
Razón de dependencia (dependencia demográfica),Es la medida comúnmente utilizada para medir la necesidad potencial de soporte social de la población en edades económicamente inactivas por parte de la población en edades económicamente activas. Es el cociente que resulta de dividir a las personas que por su edad se definen como dependientes (menores de 15 años y mayores de 64 años de edad) entre las que se definen como económicamente productivas (15-64) dentro de una población.
Red de ciudades,"Una red de ciudades es un conjunto de ciudades (nodos) que compiten entre sí en un entorno de cooperación organizado funcionalmente de manera jerárquica y no jerárquica, a partir de vínculos (interrelaciones) de naturaleza diversa que se establecen mediante las infraestructuras de transporte y comunicaciones, lo que genera beneficios colectivos (economías, ventajas económicas o políticas) a todos los integrantes de la red."
Relación de dependencia demográfica de menores de 15 años (o relación de dependencia infantil-juvenil),Es la medida utilizada para medir la necesidad potencial de soporte social de la población infantil y juvenil por parte de la población en edad activa. Es el cociente entre la población de menos de 15 años y la de 15 a 59 años de edad.
Relación de dependencia demográfica de la población de 60 años y más de edad,Es la medida utilizada para medir la necesidad potencial de soporte social de la población de adultos mayores por parte de la población en edad activa. Es el cociente entre la población de 60 y más años de edad y la población de 15 a 59 años de edad.
Rezago en la transición demográfica,"El descenso de la mortalidad y la fecundidad ocurre heterogéneamente en el territorio y en la estructura social, observándose espacios y grupos sociales que aún presentan altas tasas de mortalidad y fecundidad. Generalmente estas disparidades se asocian con la desigualdad social y regional, así como con la marginación y la pobreza de la población (véase transición demográfica)."
Saldo neto migratorio,"Efecto neto de la inmigración y la emigración sobre la población de una zona en un determinado periodo, generalmente un año. Este efecto puede ser positivo, nulo o negativo."
Selectividad del fenómeno migratorio,"Conjunto de características y/o atributos que posee un individuo que decide migrar respecto de aquellos que no migran. Puede ser definida en forma positiva o negativa en función de los atributos individuales. Se dice que es positiva cuando los migrantes poseen elevadas cualidades (experiencias en trabajo no agrícolas, educación superior, edades jóvenes, etc.), en comparación con la población de origen; es negativa cuando se presentan características opuestas."
Tasa de crecimiento natural,Es el cociente entre el crecimiento natural anual (nacimientos menos defunciones) de un determinado periodo y la población media del mismo periodo. Puede definirse también como la diferencia entre las tasas brutas de natalidad y de mortalidad.
Tasa de crecimiento total,"Es el cociente entre el incremento medio anual durante un periodo determinado y la población media del mismo periodo, como consecuencia de la variación de nacimientos, defunciones y movimientos migratorios. Puede definirse también como la suma algebraica de la tasa de crecimiento natural y la tasa de migración."
Tasa bruta de natalidad,Mide la frecuencia de los nacimientos ocurridos en un periodo con relación a la población total. Es el cociente entre el número medio anual de nacimientos ocurridos durante un periodo determinado y la población media del periodo.
Tasa bruta de mortalidad,Mide la frecuencia de las defunciones ocurridas en un periodo con relación a la población total. Es el cociente entre el número medio anual de defunciones ocurridas durante un periodo determinado y la población media de ese periodo.
Tasa de mortalidad infantil,"Es la probabilidad que tiene un recién nacido de morir antes de cumplir un año de vida. En la práctica, se define como el cociente entre las defunciones de los niños menores de un año ocurridas en un periodo dado y los nacimientos ocurridos en el mismo lapso."
Tasa global de fecundidad,Es el número promedio de hijos que tendría una mujer de una cohorte hipotética de mujeres que durante su vida fértil tuvieran sus hijos de acuerdo con las tasas de fecundidad por edad del periodo de estudio y no estuvieran sometidas a riesgos de mortalidad desde el nacimiento hasta la finalización del periodo fértil.
Transición demográfica,"El cambio histórico de las tasas de natalidad y mortalidad de niveles elevados a bajos en una población. De manera común, el descenso en la mortalidad precede al descenso en la fecundidad, dando lugar así a un rápido crecimiento de la población durante el periodo de transi ción."
Vulnerabilidad sociodemográfica,"Vulnerabilidad expresa la cualidad de resultar dañado, para que esto ocurra es necesaria la presencia de un riesgo, es decir, la probabilidad de que ocurra un efecto adverso. Desde el punto de vista sociodemográfico, la población posee características interdependientes, que la hacen susceptible a sufrir algún daño ante las amenazas (naturales o antrópicas del entorno), por ejemplo, analfabetismo, pobreza, carencia de seguridad social, o demás atributos que inhabiliten a la población para afrontar, responder o adaptarse ante las amenazas, cuyos efectos disminuirían el desempeño social o el ejercicio de los derechos."
